# t, u(t), y(t)
# ================
1.970000000000000000e+02 2.500000000000000000e+00 2.474029384023639366e+00
1.980000000000000000e+02 2.500000000000000000e+00 1.611241979745335229e+00
1.990000000000000000e+02 -2.500000000000000000e+00 8.351866187864107616e-01
2.000000000000000000e+02 -2.500000000000000000e+00 -1.683524738283899591e+00
2.010000000000000000e+02 -2.500000000000000000e+00 -2.095820628210878667e+00
2.020000000000000000e+02 -2.500000000000000000e+00 -1.592626882378569420e+00
2.030000000000000000e+02 -2.500000000000000000e+00 -2.012816808510317301e+00
2.040000000000000000e+02 -2.500000000000000000e+00 -1.446827570076415270e+00
2.050000000000000000e+02 -2.500000000000000000e+00 -1.780093621346237054e+00
2.060000000000000000e+02 -2.500000000000000000e+00 -1.388606795309056396e+00
2.070000000000000000e+02 2.500000000000000000e+00 -1.497046897259810327e+00
2.080000000000000000e+02 2.500000000000000000e+00 1.793748791504827356e+00
2.090000000000000000e+02 2.500000000000000000e+00 1.555461424796912295e+00
2.100000000000000000e+02 2.500000000000000000e+00 1.885294150231641819e+00
2.110000000000000000e+02 2.500000000000000000e+00 1.635279777317676819e+00
2.120000000000000000e+02 2.500000000000000000e+00 1.487303601008586273e+00
2.130000000000000000e+02 2.500000000000000000e+00 5.136204962158006371e-01
2.140000000000000000e+02 2.500000000000000000e+00 1.833473202313776751e+00
2.150000000000000000e+02 -2.500000000000000000e+00 2.361043613419478326e+00
2.160000000000000000e+02 -2.500000000000000000e+00 -1.619860884703102188e+00
2.170000000000000000e+02 -2.500000000000000000e+00 -2.375874918004469372e+00
2.180000000000000000e+02 -2.500000000000000000e+00 -2.257211117146084689e+00
2.190000000000000000e+02 -2.500000000000000000e+00 -1.884927732264766842e+00
2.200000000000000000e+02 -2.500000000000000000e+00 -2.287843376209790058e+00
2.210000000000000000e+02 2.500000000000000000e+00 -1.598644350865794150e+00
2.220000000000000000e+02 2.500000000000000000e+00 2.654512193501310513e+00
2.230000000000000000e+02 2.500000000000000000e+00 1.452058064537419479e+00
2.240000000000000000e+02 2.500000000000000000e+00 7.590365596166986917e-01
2.250000000000000000e+02 2.500000000000000000e+00 1.696273148279465515e+00
2.260000000000000000e+02 2.500000000000000000e+00 7.950263633935956697e-01
2.270000000000000000e+02 2.500000000000000000e+00 1.867411713055809663e+00
2.280000000000000000e+02 2.500000000000000000e+00 1.453545820311381798e+00
2.290000000000000000e+02 -2.500000000000000000e+00 8.891818910107819329e-01
2.300000000000000000e+02 -2.500000000000000000e+00 -1.088769132120625871e+00
2.310000000000000000e+02 -2.500000000000000000e+00 -1.163346546752039412e+00
2.320000000000000000e+02 -2.500000000000000000e+00 -7.882572810026672316e-01
2.330000000000000000e+02 2.500000000000000000e+00 -1.715602205744214404e+00
2.340000000000000000e+02 2.500000000000000000e+00 1.348625717680138392e+00
2.350000000000000000e+02 2.500000000000000000e+00 1.709403443037303294e+00
2.360000000000000000e+02 2.500000000000000000e+00 1.098102183012175548e+00
2.370000000000000000e+02 2.500000000000000000e+00 1.216206771641432427e+00
2.380000000000000000e+02 2.500000000000000000e+00 2.092610970422728478e+00
2.390000000000000000e+02 2.500000000000000000e+00 1.312017137372019304e+00
2.400000000000000000e+02 2.500000000000000000e+00 1.109650247947372881e+00
2.410000000000000000e+02 -2.500000000000000000e+00 2.434226025663962290e+00
2.420000000000000000e+02 -2.500000000000000000e+00 -1.525921787800278429e+00
2.430000000000000000e+02 -2.500000000000000000e+00 -1.611671302064108247e+00
2.440000000000000000e+02 2.500000000000000000e+00 -1.191828975487466469e+00
2.450000000000000000e+02 2.500000000000000000e+00 8.846089081265799958e-01
2.460000000000000000e+02 2.500000000000000000e+00 1.102732079293453626e+00
2.470000000000000000e+02 2.500000000000000000e+00 1.592656007994535994e+00
2.480000000000000000e+02 2.500000000000000000e+00 6.219260645027218093e-01
2.490000000000000000e+02 2.500000000000000000e+00 1.335801424420043348e+00
2.500000000000000000e+02 -2.500000000000000000e+00 1.408681311760848986e+00
